Sample_ID,Pseudotime,State,Cluster,Tissue_Type
TCGA-44-6775-01C,0.0,1,4.0,Tumor
TCGA-44-6147-01B,0.22699861592849,1,4.0,Tumor
TCGA-44-6146-01B,1.23642193210459,1,2.0,Tumor
TCGA-44-5645-01B,1.37789804332758,1,4.0,Tumor
TCGA-44-2656-01B,2.33812564894524,1,4.0,Tumor
TCGA-44-2665-01B,2.71936453772013,1,4.0,Tumor
TCGA-44-3918-01B,3.6912024282235,1,4.0,Tumor
TCGA-44-4112-01B,3.78461229538534,1,4.0,Tumor
TCGA-44-3917-01B,4.21879823997135,1,4.0,Tumor
TCGA-44-2666-01B,5.90697892534853,1,4.0,Tumor
TCGA-55-7815-01A,8.44804150082478,1,4.0,Tumor
TCGA-55-7724-01A,10.6735996954524,1,5.0,Tumor
TCGA-55-7727-01A,11.7531093728903,1,4.0,Tumor
TCGA-55-7725-01A,11.775585571653,1,4.0,Tumor
TCGA-44-3917-01A,12.2950510661693,1,2.0,Tumor
TCGA-44-3918-01A,12.6576762707754,1,2.0,Tumor
TCGA-44-2656-01A,12.8565724798615,1,2.0,Tumor
TCGA-78-7155-01A,13.209717558849,1,1.0,Tumor
TCGA-44-2665-01A,13.2599572433797,1,2.0,Tumor
TCGA-55-7726-01A,13.7591922818804,1,3.0,Tumor
TCGA-62-A46O-01A,14.1253523920498,1,2.0,Tumor
TCGA-05-4427-01A,14.295347572524,1,2.0,Tumor
TCGA-86-7701-01A,14.6028775194862,1,2.0,Tumor
TCGA-44-7669-01A,14.6073671318962,1,2.0,Tumor
TCGA-44-4112-01A,14.6395330489526,1,2.0,Tumor
TCGA-55-A4DF-01A,14.9181178045643,1,2.0,Tumor
TCGA-91-6829-01A,15.6116944036741,1,2.0,Tumor
TCGA-53-7813-01A,15.9692375779573,1,5.0,Tumor
TCGA-64-5779-01A,16.4221206275223,1,4.0,Tumor
TCGA-44-A479-01A,16.528601168078,1,2.0,Tumor
TCGA-55-6978-01A,17.308824487241,1,1.0,Tumor
TCGA-50-5066-02A,17.3405442695423,1,1.0,Tumor
TCGA-44-2668-01A,19.2721189104766,1,1.0,Tumor
TCGA-55-6970-01A,19.4002382943971,1,1.0,Tumor
TCGA-86-7713-01A,20.265080666521,1,1.0,Tumor
TCGA-55-7994-01A,20.3071774335237,1,1.0,Tumor
TCGA-50-5933-01A,20.8773979932593,1,2.0,Tumor
TCGA-50-6592-01A,21.762054836355,1,2.0,Tumor
TCGA-49-6743-01A,21.8408175065342,1,2.0,Tumor
TCGA-83-5908-01A,22.1088380009701,1,1.0,Tumor
TCGA-05-4424-01A,23.1377678623118,1,2.0,Tumor
TCGA-49-6745-01A,23.8844795023954,1,1.0,Tumor
TCGA-55-8089-01A,24.2595330650127,1,2.0,Tumor
TCGA-MP-A4TF-01A,24.550100022812,1,2.0,Tumor
TCGA-44-7661-01A,26.6753169016697,2,1.0,Tumor
TCGA-95-7947-01A,26.7012838014978,2,2.0,Tumor
TCGA-91-6840-01A,26.8446517662376,2,1.0,Tumor
TCGA-69-A59K-01A,26.9080499250589,2,2.0,Tumor
TCGA-62-A472-01A,26.929451242769,2,3.0,Tumor
TCGA-86-8074-01A,26.9943342060118,2,1.0,Tumor
TCGA-55-7911-01A,27.0129031013411,2,2.0,Tumor
TCGA-50-5936-01A,27.3914690132847,2,2.0,Tumor
TCGA-62-A46R-01A,27.8598481399116,2,5.0,Tumor
TCGA-97-7937-01A,27.894471712409,7,4.0,Tumor
TCGA-J2-A4AD-01A,27.9923733609105,2,4.0,Tumor
TCGA-MP-A4SV-01A,28.4767862048918,7,2.0,Tumor
TCGA-86-8075-01A,28.5159305627924,2,2.0,Tumor
TCGA-86-8055-01A,28.5370644809136,2,2.0,Tumor
TCGA-69-7978-01A,28.5475111223985,2,2.0,Tumor
TCGA-44-6145-01A,28.6397497162769,2,2.0,Tumor
TCGA-69-7761-01A,28.6643437864436,2,2.0,Tumor
TCGA-55-7914-01A,28.7043516588744,2,2.0,Tumor
TCGA-55-7907-01A,28.7078627271229,2,4.0,Tumor
TCGA-86-7954-01A,28.713974022482,2,1.0,Tumor
TCGA-44-6778-01A,28.7442264551259,2,2.0,Tumor
TCGA-78-7143-01A,28.8250352798675,2,3.0,Tumor
TCGA-86-7953-01A,29.1128575123928,7,2.0,Tumor
TCGA-44-8119-01A,29.1232313432201,7,1.0,Tumor
TCGA-55-8205-01A,29.1810109484518,7,1.0,Tumor
TCGA-50-7109-01A,29.9092793827163,7,4.0,Tumor
TCGA-55-8204-01A,29.9423794483809,2,2.0,Tumor
TCGA-78-7145-01A,29.9670643785852,7,1.0,Tumor
TCGA-50-5946-02A,29.993272586837,2,1.0,Tumor
TCGA-55-6987-01A,29.9964102818781,2,4.0,Tumor
TCGA-50-5939-01A,30.0910944275959,2,2.0,Tumor
TCGA-55-7576-01A,30.2142931167165,2,2.0,Tumor
TCGA-55-8092-01A,30.3905147890992,2,1.0,Tumor
TCGA-50-5932-01A,30.4865646923605,2,1.0,Tumor
TCGA-75-6205-01A,30.5031594772961,2,2.0,Tumor
TCGA-64-1679-01A,30.5088043824682,2,2.0,Tumor
TCGA-44-A4SS-01A,30.5178325689504,2,4.0,Tumor
TCGA-91-6828-01A,30.5310954199518,2,2.0,Tumor
TCGA-44-6775-01A,30.5752980795099,2,2.0,Tumor
TCGA-86-8073-01A,30.6650834213644,2,1.0,Tumor
TCGA-69-7973-01A,30.761397887697,7,1.0,Tumor
TCGA-78-7159-01A,30.7673210289118,7,2.0,Tumor
TCGA-MP-A4SY-01A,31.3392734579833,2,2.0,Tumor
TCGA-75-5125-01A,31.3766814941912,7,2.0,Tumor
TCGA-55-6642-01A,31.4334336106091,2,1.0,Tumor
TCGA-69-7765-01A,31.4359275020221,2,3.0,Tumor
TCGA-78-7158-01A,31.5926887878048,2,2.0,Tumor
TCGA-44-6779-01A,31.6215928547741,2,3.0,Tumor
TCGA-78-7160-01A,31.6734562633143,2,2.0,Tumor
TCGA-55-7995-01A,31.8202127992857,2,4.0,Tumor
TCGA-55-7903-01A,31.9486510416233,2,2.0,Tumor
TCGA-50-5946-01A,31.9615577652285,7,2.0,Tumor
TCGA-78-7148-01A,32.121193481623,2,3.0,Tumor
TCGA-05-4417-01A,32.1309182183359,2,3.0,Tumor
TCGA-55-A48Y-01A,32.4741925838379,7,4.0,Tumor
TCGA-55-7910-01A,32.9623749028576,7,4.0,Tumor
TCGA-95-A4VN-01A,32.9946491585915,2,3.0,Tumor
TCGA-L9-A7SV-01A,33.030034175171,2,4.0,Tumor
TCGA-69-7760-01A,33.1736496035851,7,5.0,Tumor
TCGA-91-6830-01A,33.7648174691579,2,2.0,Tumor
TCGA-05-4396-01A,33.7699227326968,2,2.0,Tumor
TCGA-55-8203-01A,33.8013355464027,2,2.0,Tumor
TCGA-62-8399-01A,33.8126322861023,2,2.0,Tumor
TCGA-62-A470-01A,33.9286590990409,2,4.0,Tumor
TCGA-99-8032-01A,33.9551860296716,2,4.0,Tumor
TCGA-75-6207-01A,34.3336058970738,7,1.0,Tumor
TCGA-55-6982-01A,34.6106885026393,2,3.0,Tumor
TCGA-50-5049-01A,34.6677157328804,2,2.0,Tumor
TCGA-97-7554-01A,34.6784426459811,2,2.0,Tumor
TCGA-50-5930-01A,34.6815866534002,2,3.0,Tumor
TCGA-75-5122-01A,34.695797055013,2,3.0,Tumor
TCGA-44-8117-01A,34.7273578296104,2,2.0,Tumor
TCGA-55-6971-01A,34.7761587051744,2,2.0,Tumor
TCGA-55-6979-01A,34.7815316319142,2,3.0,Tumor
TCGA-44-6774-01A,34.9234150476133,2,2.0,Tumor
TCGA-55-A494-01A,34.9243849632678,2,2.0,Tumor
TCGA-55-6712-01A,34.953217461651,2,2.0,Tumor
TCGA-05-4410-01A,35.0055304362697,2,3.0,Tumor
TCGA-86-6851-01A,35.0106594941378,2,2.0,Tumor
TCGA-62-A46U-01A,35.0203027542652,2,3.0,Tumor
TCGA-NJ-A4YQ-01A,35.0641990049396,2,4.0,Tumor
TCGA-L9-A8F4-01A,35.0924554131632,2,2.0,Tumor
TCGA-44-A47B-01A,35.1877443692716,2,2.0,Tumor
TCGA-38-6178-01A,35.2235306852904,2,1.0,Tumor
TCGA-J2-8194-01A,35.2844583729506,2,1.0,Tumor
TCGA-69-7974-01A,35.3133256545092,2,3.0,Tumor
TCGA-50-6673-01A,35.3344304231965,2,2.0,Tumor
TCGA-62-8402-01A,36.2228595893895,7,2.0,Tumor
TCGA-75-6214-01A,36.2948577276987,7,4.0,Tumor
TCGA-55-6969-01A,36.9232162300577,7,2.0,Tumor
TCGA-93-A4JQ-01A,36.9598612013215,2,3.0,Tumor
TCGA-69-7764-01A,37.0565428960965,2,4.0,Tumor
TCGA-05-5425-01A,37.0674692271153,7,2.0,Tumor
TCGA-91-6848-01A,37.1186894711068,7,1.0,Tumor
TCGA-55-A493-01A,37.1459342616001,7,3.0,Tumor
TCGA-50-6595-01A,37.1555561772802,7,1.0,Tumor
TCGA-L9-A5IP-01A,37.1733828532956,7,2.0,Tumor
TCGA-75-5147-01A,37.2282891135062,7,1.0,Tumor
TCGA-55-6975-01A,37.2928372991054,7,2.0,Tumor
TCGA-86-8358-01A,37.4422985004343,7,2.0,Tumor
TCGA-75-7027-01A,37.5437768224621,7,2.0,Tumor
TCGA-91-6831-01A,37.5523250155492,7,1.0,Tumor
TCGA-86-7711-01A,37.5545939787454,7,5.0,Tumor
TCGA-55-6968-01A,37.5701904826097,7,2.0,Tumor
TCGA-50-6590-01A,37.5707568532516,7,1.0,Tumor
TCGA-75-6211-01A,37.59948103584,7,1.0,Tumor
TCGA-78-7220-01A,37.6466907830988,7,2.0,Tumor
TCGA-64-5775-01A,37.6821001793568,7,1.0,Tumor
TCGA-44-7670-01A,37.6834200021628,7,2.0,Tumor
TCGA-91-6847-01A,37.7500079606753,7,1.0,Tumor
TCGA-95-7562-01A,37.7577480606965,7,2.0,Tumor
TCGA-86-8054-01A,37.7739613369104,7,1.0,Tumor
TCGA-78-7542-01A,37.7844183477665,7,1.0,Tumor
TCGA-99-8033-01A,37.7989568604867,7,2.0,Tumor
TCGA-78-7150-01A,37.8061483295012,7,2.0,Tumor
TCGA-50-5931-01A,37.8175745451451,7,1.0,Tumor
TCGA-80-5611-01A,37.8263805858821,7,2.0,Tumor
TCGA-78-7154-01A,37.8582607016999,7,1.0,Tumor
TCGA-44-5644-01A,37.8656708900235,7,4.0,Tumor
TCGA-73-4676-01A,37.8756662468131,7,3.0,Tumor
TCGA-55-8620-01A,37.9177555605481,7,2.0,Tumor
TCGA-50-5072-01A,37.970018873662,7,2.0,Tumor
TCGA-64-5774-01A,37.9786166752689,7,1.0,Tumor
TCGA-78-7146-01A,37.9920097430866,7,1.0,Tumor
TCGA-50-6594-01A,38.0418650317664,7,2.0,Tumor
TCGA-50-6591-01A,38.0440521866573,7,1.0,Tumor
TCGA-MP-A4TA-01A,38.070871334007,7,2.0,Tumor
TCGA-05-4390-01A,38.093722244578,7,1.0,Tumor
TCGA-53-7624-01A,38.1168631656672,7,1.0,Tumor
TCGA-78-8640-01A,38.1456231737922,7,4.0,Tumor
TCGA-78-7536-01A,38.1536717990837,7,1.0,Tumor
TCGA-44-5643-01A,38.2302328329078,7,1.0,Tumor
TCGA-05-5420-01A,38.2631485212802,7,2.0,Tumor
TCGA-44-7660-01A,38.2941965358213,7,4.0,Tumor
TCGA-55-7913-01B,38.2963564791748,7,4.0,Tumor
TCGA-73-7499-01A,38.3737107691841,7,2.0,Tumor
TCGA-86-6562-01A,38.4122414425871,2,2.0,Tumor
TCGA-73-A9RS-01A,38.4454611021793,7,2.0,Tumor
TCGA-49-6767-01A,38.4506358969601,7,2.0,Tumor
TCGA-95-7043-01A,38.4524232468096,7,5.0,Tumor
TCGA-55-5899-01A,38.5459507205955,7,2.0,Tumor
TCGA-91-6836-01A,38.6896711337106,7,1.0,Tumor
TCGA-53-A4EZ-01A,38.7673072096635,7,5.0,Tumor
TCGA-86-7955-01A,38.8884007248184,7,2.0,Tumor
TCGA-05-4415-01A,38.9215594950455,7,1.0,Tumor
TCGA-49-AAR9-01A,39.0845744292406,7,2.0,Tumor
TCGA-50-5066-01A,39.1238586803029,7,2.0,Tumor
TCGA-38-4632-01A,39.1872731125576,7,2.0,Tumor
TCGA-55-8094-01A,39.2633574924507,7,2.0,Tumor
TCGA-86-A4D0-01A,39.3509802025651,7,4.0,Tumor
TCGA-91-8499-01A,39.3829696236333,7,1.0,Tumor
TCGA-62-A471-01A,39.5735866934221,7,4.0,Tumor
TCGA-55-7570-01A,39.6488722265673,7,1.0,Tumor
TCGA-69-8255-01A,39.6551851926998,7,2.0,Tumor
TCGA-05-5428-01A,39.9935243254048,7,2.0,Tumor
TCGA-55-8208-01A,40.0286850515566,2,4.0,Tumor
TCGA-55-8299-01A,40.0853020786573,2,2.0,Tumor
TCGA-35-5375-01A,40.4325408564127,7,2.0,Tumor
TCGA-44-7667-01A,40.7138570245652,7,1.0,Tumor
TCGA-38-4631-01A,40.7424460779838,7,2.0,Tumor
TCGA-78-7161-01A,40.9721466451116,2,4.0,Tumor
TCGA-55-6985-01A,41.7889020864947,2,4.0,Tumor
TCGA-67-6215-01A,41.8207320137469,2,2.0,Tumor
TCGA-55-7283-01A,42.5374059452728,2,2.0,Tumor
TCGA-MP-A5C7-01A,43.5428263775668,2,4.0,Tumor
TCGA-05-4425-01A,44.8134154337799,2,2.0,Tumor
TCGA-75-5126-01A,44.9736843869608,2,3.0,Tumor
TCGA-MP-A4T4-01A,45.348159321661,2,2.0,Tumor
TCGA-55-8614-01A,45.3832934350292,2,2.0,Tumor
TCGA-86-8669-01A,45.4564491942902,2,2.0,Tumor
TCGA-75-5146-01A,45.4993131801051,2,2.0,Tumor
TCGA-69-7980-01A,46.7230594306503,3,3.0,Tumor
TCGA-73-4658-01A,46.7948610392436,6,2.0,Tumor
TCGA-L9-A443-01A,46.8118605461658,3,3.0,Tumor
TCGA-80-5607-01A,46.8213748776536,6,2.0,Tumor
TCGA-55-6984-01A,47.0989471938487,6,4.0,Tumor
TCGA-64-5815-01A,47.4809680211092,6,2.0,Tumor
TCGA-44-7671-01A,47.4839717485811,6,2.0,Tumor
TCGA-55-6981-01A,47.5886798755427,6,4.0,Tumor
TCGA-62-A46V-01A,48.4695417020892,6,2.0,Tumor
TCGA-MN-A4N5-01A,48.6039269260401,6,3.0,Tumor
TCGA-97-8179-01A,48.6732952708504,6,4.0,Tumor
TCGA-MP-A4TI-01A,48.7288009861013,6,3.0,Tumor
TCGA-55-A48Z-01A,48.7386013808715,6,3.0,Tumor
TCGA-55-8301-01A,48.9192055646196,6,2.0,Tumor
TCGA-55-6983-01A,48.9217204147195,3,2.0,Tumor
TCGA-71-8520-01A,49.0302291968807,6,2.0,Tumor
TCGA-55-6986-01A,49.0525815322428,3,1.0,Tumor
TCGA-MP-A4TK-01A,49.0796295530022,6,3.0,Tumor
TCGA-NJ-A55R-01A,49.1735423991034,6,5.0,Tumor
TCGA-78-7152-01A,49.2297633735329,6,2.0,Tumor
TCGA-55-8505-01A,49.2667219707854,6,3.0,Tumor
TCGA-05-5423-01A,49.4249520545795,6,2.0,Tumor
TCGA-97-A4M3-01A,49.8469224037574,6,2.0,Tumor
TCGA-44-A47A-01A,50.1981592588456,6,2.0,Tumor
TCGA-95-A4VK-01A,50.2057827006987,3,3.0,Tumor
TCGA-L9-A743-01A,50.3055373014983,3,2.0,Tumor
TCGA-97-8171-01A,50.4349544389536,6,4.0,Tumor
